Pincode,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
560066,12.8986278,13.1396469,77.5386193,77.97438670000003
560067,12.7174961,13.264355599999998,77.2813277,77.9741312
560068,12.8333901,13.1436649,77.4601025,77.7840515
560070,12.8340125,13.1436649,77.4601025,77.7840515
560071,12.8340125,13.1436649,77.4601025,77.7840515
560072,12.8340125,13.1436649,77.4601025,77.7840515
560073,12.8340125,13.1436649,77.4601025,77.7840515
560074,12.8106075,13.407352,77.274852,77.9743375
560075,12.8340125,13.1436649,77.4601025,77.7840515
560076,12.8340125,13.1436649,77.4601025,77.7840515
560077,12.8340125,13.1998508,77.23522879999999,77.7840515
560078,12.8340125,13.1436649,77.4601025,77.7840515
560079,12.8340125,13.1436649,77.4601025,77.7840515
560080,12.8340125,13.1436649,77.4601025,77.7840515
560081,12.8003939,12.8004939,77.70623259999998,77.70633259999998
560082,12.7282973,13.1436649,77.274852,77.7840515
560083,12.7186426,13.1436649,77.4601025,77.7840515
560084,12.8340125,13.1436649,77.4601025,77.7840515
560085,12.8340125,13.1436649,77.4601025,77.7840515
560086,12.8340125,13.1436649,77.4601025,77.7840515
560087,12.8340125,13.4479345,77.4601025,77.9587307
560088,12.8137491,13.1593984,77.325075,77.49836280000002
560089,13.0045557,13.3398946,77.47691359999997,77.98337099999998
560090,12.8340125,13.1511691,77.2435627,77.8220446
560091,12.8340125,13.3552382,77.4320643,77.7840515
560092,12.8340125,13.1436649,77.4601025,77.7840515
560093,12.8340125,13.1436649,77.4601025,77.7840515
560094,12.8340125,13.1436649,77.4601025,77.7840515
560095,12.8340125,13.1436649,77.4601025,77.7840515
560096,12.8340125,13.1436649,77.4601025,77.7840515
560097,12.8340125,13.1436649,77.4601025,77.7840515
560098,12.8340125,13.1436649,77.4601025,77.7840515
560099,12.7820888,13.2537188,77.4601025,77.92108990000001
560100,12.8340125,13.1436649,77.4191224,77.7840515
560102,12.8340125,13.1436649,77.4601025,77.7840515
560103,12.9151457,13.2614761,77.5475665,77.7480705
560104,12.8340125,13.1436649,77.4601025,77.7840515
560105,12.7397267,13.3700993,77.3987702,77.9755559
560107,12.8794251,13.0271985,77.33017159999999,77.37017159999998
560108,12.8391189,13.2791462,77.4857245,77.58204429999998
560109,12.8697669,12.869866900000002,77.5356188,77.5357188
560110,,,,
560111,12.8340125,13.1436649,77.4601025,77.7840515
560300,13.1979229,13.198279199999998,77.6802818,77.680357
561101,12.7212519,13.3295936,77.3809508,77.6800805
561201,13.123837900000002,13.1239379,77.7732657,77.7733657
561203,12.7270321,13.4809593,77.19487779999999,77.9863942
561204,13.0025639,13.4570213,77.1808932,77.9755559
561205,12.7270321,13.438355599999998,77.2268512,77.88632679999998
562102,13.4616372,13.5016372,77.28490090000003,77.3249009
562106,12.7174961,13.514601,77.2536709,77.9849502
562107,12.7190577,13.334318,77.30450450000002,77.9884227
562109,12.8111136,12.8511136,77.4091715,77.44917149999998
562110,12.8038977,13.495491199999998,77.1681438,77.95288599999998
562111,12.774324900000002,13.5164256,77.1730705,77.81493979999998
562114,12.7270321,13.5155899,77.18148000000002,77.95835500000003
562117,13.3197035,13.3597035,77.743495,77.783495
562120,,,,
562122,12.8110442,13.4283841,77.2260348,77.9765122
